Наименование диода|Uобр max, ВUобр, и max, В|Iпр max, мАIпр, ср max, мАIпр, и max, мА|fд max, кГц|Uпр, В, не более (при Iпр, мА)|Iобр, мкА, не более(при Uобр, В)|tвос, обр, мкс|Cд, пФ(при Uобр, В)
КД116Б-1|50|100|-|<=1 (25 мА)|0,4 (50 В)|<=4|-
Д202|100|400|20|1 (400)|500(100)|||
КД202А|50*|5 А|1,2|0,9 (5 А)|800 (50)|-|-
КД202В|100*|5 А|1,2|0,9 (5 А)|800(100)|-|-
КД202Д|200*|5 А|1,2|0,9 (5 А)|800 (200)|-|-
КД202Ж|300*|5 А|1,2|0,9 (5 А)|800 (300)|-|-
КД202К|400*|5 А|1,2|0,9 (5 А)|800 (400)|-|-
КД202М|500*|5 А|1,2|0,9 (5 А)|800 (500)|-|-
КД202Р|600*|5 А|1,2|0,9 (5 А)|800 (600)|-|-
Д203|200|400|20|1 (400)|500 (200)|-|-
КД203А|420|10 А||1 (10 А)|1500(600)|-|-
КД203Б|560|10 А||1 (10 А)|1500(800)|-|-
КД203В|560|10 А||1 (10 А)|1500 (800)|-|-
КД203Г|1000|10 А||1 (10 А)|1500(1000)|-|-
КД203Д|720|10 А|1|1 (10 А)|1500(1000)|-|-
КД203Е|800|10 А|1 (5 А)|1,5 мА (800 В)|-|-|-
КД203Ж|800|10 А|1 (10 А)|1,5 мА (800 В)|-|-|-
КД203И|1000|10 А|1 (5 А)|1,5 мА (1000 В)|-|-|-
КД203К|1000|10 А|1 (10 А)|1,5 мА (1000 В)|-|-|-
КД203Л|400|10 А|1 (10 А)|1,5 мА (400 В)|-|-|-
КД203М|600|10 А|1 (10 А)|1,5 мА (600 В)|-|-|-
Д204|300|400|20|1 (400)|500 (300)|-|-
КД204А|400*|400|1|1,4 (600)|150(400)|1,5|-
КД204Б|200*|600|1|1,4 (600)|100 (200)|1,5|-
КД204В|50*|1 А|1|1,4 (600)|50 (50)|1,5|-
Д205|400|400|20|1 (400)|500 (400)|-|-
КД205А|500|500|5|1 (500)|100 (500)|-|-
КД205Б|400|500|5|1 (500)|100 (400)|-|-
КД205В|300|500|5|1 (500)|100 (300)|-|-
КД205Г|200|500|5|1 (500)|100 (200)|-|-
КД205Д|100|500|5|1 (500)|100(100)|-|-
КД205Е|500|300|5|1 (300)|100 (500)|-|-
КД205Ж|600|500|5|1 (500)|100 (600)|-|-
КД205И|700|300|5|1 (300)|100 (700)|-|-
КД205К|100|700|5|1 (700)|100(100)|-|-
КД205Л|200|700|5|1 (700)|100 (200)|-|-
Д206|100|400|1|1 (100)|50(100)|-|-
КД206А|400|10 А|1|1,2 (1000)|700 (400)|10|-
КД206Б|500|10 А|1|1,2 (1000)|700 (500)|10|-
КД206В|600|10 А|1|1,2 (1000)|700 (600)|10|-
Д207|200|400|1|1 (100)|50 (200)|-|-
Д208|300|400|1|1 (100)|50 (300)|-|-
КД208А|100|1,5 А|1|1 (1000)|100(100)|-|-
КД208А-1|100|1,5 А|1 (1 А)|100 (100 В)|-|-|1
Д209|400|400|1|1 (100)|50 (400)|-|-
КД209А|400|700|1|1 (700)|100 (400)|-|-
КД209Б|600|500|1|1 (500)|100 (600)|-|-
КД209В|800|500|1|1 (500)|100 (800)|||
КД209А-1|400|700|1 (0,7 А)|30 (400 В)|-|-|1
КД209Б-1|600|700|1 (0,7 А)|30 (600 В)|-|-|1
КД209В-1|800|500|1 (0,5 А)|30 (800 В)|-|-|1
КД209Г-1|1000|200|1 (0,2 А)|50 (1000 В)|-|-|1
Д210|500|400|1|1 (100)|50 (500)|-|-
КД210А|800|5 А|1|1 (10 А)|4,5 мА (800)|-|-
КД210Б|800|10 А|1|2 (10 А)|4,5 мА (800)|-|-
КД210В|1000|5 А|1|2 (10 А)|4,5 мА (1000)|-|-
КД210Г|1000|10 А|1|2 (10 А)|4,5 мА (1000)|-|-
Д211|600|400|1|1 (100)|50 (600)|-|-
КД212А|200|1 А|100|1 (1 А)|50 (200)|0,3|45(100)
КД212Б|200|1 А|100|1,2 (1 А)|100 (200)|0,3|45(100)
КД212В|100|1 А|100|1 (1 А)|100(100)|0,5|45 (100)
КД212Г|100|1 А|100|1,2 (1 А)|100(100)|0,5|45(100)
КД213А|200|10 А|100|1 (10 А)|200 (200)|0,3|550(100)
КД213Б|200|10 А|100|1,2 (10 А)|200 (200)|0,17|550(100)
КД213В|200|10 А|100|1,2 (10 А)|200 (200)|0,5|550(100)
КД213Г|100|10 А|100|1,2 (10 А)|200(100)|0,3|550(100)
Д214|100|10 А|1,1|1,2 (10 А)|3 мА(100)|-|-
Д214А|100|10 А|1.1|1 (10 А)|3 мА(100)|-|-
Д214Б|100|5 А|1,1|1,5(5 А)|3 мА (100)|-|-
Д215|200|10 А|1,1|1,2 (10 А)|3000 (200)|-|-
Д215А|200|10 А|1,1|1 (10 А)|3000 (200)|-|-
Д215Б|200|5 А|1,1|1,5(5 А)|3000 (200)|-|-
МД217|800|100|1|1 (100)|50 (800)|-|-
МД218|1000|100|1|1 (100)|50(1000)|-|-
МД218А|1200|100|1|1,1 (100)|50(1200)|-|-
КД221А|100|0,7 А|1|1,4(0,7 А)|50(100)|1,5|-
КД221Б|200|0,5 А|1|1,4(0,5 А)|50 (200)|1,5|-
КД221В|400|0,3 А|1|1,4(0,3 А)|100 (400)|1,5|-
КД221Г|600|0,3 А|1|1,4 (0,3 А)|150 (600)|1,5||
КД221А1|100|700|1|1,4 (0,7 А)|50 (100 В)|1,5|-
КД221Б1|200|500|1|1,4 (0,5 А)|50 (200 В)|1,5|-
КД221В1|400|300|1|1,4(0,3 А)|100 (400 В)|1,5|-
КД221П|600|300|1|1,4(0,3 А)|100 (600 В)|1,5|-
ВД221Д1|100|700|1|1,4(0,7 А)|50 (100 В)|1,8|-
КД221Е1|400|300|1|1,4 (0,3 А)|100 (400 В)|1,8|-
КД222А-5|20|2 A|-|0,55 (2 A)|2 мА (20 B)|-|-
КД222Б-5|30|2 A|-|0,55 (2 A)|2 мA (30 B)|-|-
КД222В-5|40|2 A|-|0,55 (2 A)|2 мА (40 B)|-|-
Д223|50|50|-|1 (50)|1 (50)|-|-
Д223А|100|50|-|1 (50)|1 (100)|-|-
Д223Б|150|50|-|1 (50)|1 (150)|-|-
КД223А|200|2 A; 50 A*|1,5|1,3 (6 A)|10 (200)|-|-
Д226|400|300|1|1 (300)|50 (400)|-|-
Д226А|300|300|1|1 (300)|50 (300)|-|-
Д226Е|200|300|1|1 (300)|50 (200)|-|-
КД226А|100|1,7 A|50|1,4 (1,7 A)|50(100)|0,25|-
КД226Б|200|1,7 A|50|1,4 (1,7 A)|50 (200)|0,25|-
КД226В|400|1,7 A|50|1,4 (1,7 A)|50 (400)|0,25|-
КД226Г|600|1,7 A|50|1,4 (1,7 A)|50 (600)|0,25|-
КД226Д|800|1,7 A|50|1,4 (1,7 A)|50 (800)|0,25|-
КД226Е|600|2 A|50|1,3 (1 A)|10 (600)|0,25|-
МД226|400|300|1|1 (300)|50 (400)|-|-
МД226А|300|300|1|1 (300)|50 (300)|-|-
МД226Е|200|300|1|1 (300)|50 (200)|-|-
Д229А|200|400|1|1 (400)|50 (200 )|-|-
Д229Б|400|400|1|1 (400)|50 (400)|-|-
Д229В|100|400|1|1 (400)|200(100)|-|-
Д229Г|200|400|1|1 (400)|200 (200)|-|-
Д229Д|400|300|1|1 (400)|200 (300)|-|-
Д229Е|400|400|1|1 (400)|200 (400)|-|-
Д229Ж|100|700|1|1 (700)|200 (100)|-|-
Д229И|200|700|1|1 (700)|200 (200)|-|-
Д229К|300|700|1|1 (700)|200 (300)|-|-
Д229Л|400|700|1|1 (700)|200 (400)|-|-
Д231|300|10 A|1,1|1 (10 A)|3000 (300)|-|-
Д231А|300|10 A|1,1|1 (10 A)|3000 (300)|-|-
Д231Б|300|5 A|1,1|1,5 (5 A)|3000 (300)|-|-
Д232|400|10 А|1,1|1 (10 А)|3000 (400)|-|-
Д232А|400|10 А|1,1|1 (10 А)|3000 (400)|-|-
Д232Б|400|5 А|1,1|1,5 (5 А)|3000 (400)|-|-
Д233|500|10 А|1,1|1 (10 А)|3000 (500)|-|-
Д233Б|500|5 А|1,1|1,5 (5 А)|3000 (500)|-|-
Д234Б|600|5 А|1,1|1,5 (5 А)|3000 (600)|-|-
Д237А|200|300|1|1 (300)|50 (200)|-|-
Д237Б|400|300|1|1 (300)|50 (400)|-|-
Д237В|600|100|1|1 (100)|50 (600)|-|-
Д237Е|200|200|1|1 (200)|50 (200)|-|-
Д237Ж|400|200|1|1 (200)|50 (400)|-|-
КД238АС|25*|7,5; 75* А|10...200|0,65 (7,5 А)|<1 мА (25)|-|200 (25)
КД238БС|35*|7,5; 75* А|10...200|0,65 (7,5 А)|<1 мA (35)|-|200 (25)
КД238ВС|45*|7,5; 75* А|10...200|0,65 (7,5 А)|<1 мА (45)|-|200 (25)
КД240А|200*|2 А|20|1,45 (3 А)|30 (200 В)|<=0,25|-
КД240Б|400*|2 А|20|1,45 (3 А)|30 (400 В)|<=0,25|-
КД240В|600*|2 А|20|1,45 (3 А)|30 (600 В)|<=0,25|-
КД240Г|200*|1 А|20|1,35 (1,5 А)|30 (200 В)|<=0,25|-
КД240Д|400*|1 А|20|1,35 (1,5 А)|30 (400 В)|<=0,25|-
КД240Е|600*|1 А|20|1,35 (1,5 А)|30 (100 В)|<=0,25|-
КД240Ж|200*|2* А|1|1,15(3 А)|30 (200 В)|-|-
КД240И|400*|2* А|1|1,15 (3 А)|30 (400 В)|-|-
КД240К|600*|2* А|1|1,15(3 А)|30 (600 В)|-|-
КД241А|1500*|2 А; 5* А|20|1,4 (2 А)|1 (1500)|<=1,5|-
Д242|100|10 А|1,1|1,25 (10 А)|3000(100)|-|-
Д242А|100|10 А|1,1|1 (10 А)|3000(100)|-|-
Д242Б|100|5 А|1,1|1,5 (5 А)|3000(100)|-|-
Д243|200|10 А|1,1|1,25(10 А)|3000 (200)|-|-
Д243А|200|10 А|1,1|1 (10 А)|3000 (200)|-|-
Д243Б|200|5 А|1,1|1,5(5 А)|3000 (200)|-|-
КД243А|50|1 А; 6* А|1|1,1 (1 А)|10 (50)|-|-
КД243Б|100|1 А; 6* А|1|1,1 (1 А)|10 (100)|-|-
КД243В|200|1 А; 6* А|1|1,1 (1 А)|10 (200)|-|-
КД243Г|400|1 А; 6* А|1|1,1 (1 А)|10 (400)|-|-
КД243Д|600|1 А; 6* А|1|1,1 (1 А)|10 (600)|-|-
КД243Е|800|1 А; 6* А|1|1,1 (1 А)|10 (800)|-|-
КД243Ж|1000|1 А; 6* А|1|1,1 (1 А)|10 (1000)|-|-
КД244А|100|10 А|200|1,3 (10 А)|100 (100)|0,05|-
КД244Б|100|10 А|200|1,3 (10 А)|100 (200)|0,035|-
КД244В|200|10 А|200|1,3 (10 А)|100 (100)|0,05|-
КД244Г|200|10 А|200|1,3 (10 А)|100 (200)|0,035|-
Д245|300|10 А|1,1|1,25 (10 А)|3000 (300)|-|-
Д245А|300|10 А|1,1|1 (10 А)|3000 (300)|-|-
Д245Б|300|5 А|1,1|1,5 (5 А)|3000 (300)|-|-
Д246|400|10 А|1,1|1,25 (10 А)|3000 (400)|-|-
Д246А|400|10 А|1,1|1 (10 А)|3000 (400)|-|-
Д246Б|400|5 А|1,1|1,5 (5 А)|3000 (400)|-|-
Д247|500|10 А|1,1|1,25 (10 А)|3000 (500)|-|-
Д247Б|500|5А|1,1|1,5 (5 А)|3000 (500)|-|-
КД247А|100|1 А; 30* А|150|1,3 (1 А)|5 (100)|<=150|-
КД247Б|200|1 А; 30* А|150|1,3 (1 А)|5 (200)|<=150|-
КД247В|400|1 А; 30* А|150|1,3 (1 А)|5 (400)|<=150|-
КД247Г|600|1 А; 30* А|150|1,3 (1 А)|5 (600)|<=150|-
КД247Д|800|1 А; 30* А|150|1,3 (1 А)|5 (800 В)|<=250|-
КД247Е|50|1 А; 30* А|150|1,3 (1 А)|5 (50 В)|<=150|-
Д248Б|600|5 А|1,1|1,5 (5 А)|3000 (600)|-|-
КД257А|200|3 А; 15* А|-|1,5 (5 А)|2 (200)|<250|-
КД257Б|400|3 А; 15* А|-|1,5 (5 А)|2 (400)|<250|-
КД257В|600|3 А; 15* А|-|1,5 (5 А)|2 (600)|<250|-
КД257Г|800|3 А; 15* А|-|1,5 (5 А)|2 (800)|<300|-
КД257Д|1000|3 А; 15* А|-|1,5 (5 А)|2 (1000)|<300|-
КД258А|200|3 А; 7,5* А|-|1,6 (3* А)|2 (200)|<250|-
КД258Б|400|3 А; 7,5* А|-|1,6 (3* А)|2 (400)|<250|-
КД258В|600|3 А; 7,5* А|-|1,6 (3* А)|2 (600)|<250|-
КД258Г|800|3 А; 7,5* А|-|1,6 (3* А)|2 (800)|<300|-
КД258Д|1000|3 А; 7,5* А|-|1,6 (3* А)|2 (1000)|<300|-
КД268А|25|3 А; 300* А|-|0,65 (3 А)|1 мА|-|500
КД268Б|50|3 А; 250* А|-|0,75 (3 А)|1 мА|-|500
КД268В|75|3 А; 200* А|-|0,85 (3 А)|1 мА|-|500
КД268Г|100|3 А; 150* А|-|0,85 (3 А)|1 мА|-|500
КД268Д|150|3 А|-|0,9 (3 А)|2 мА|-|500
КД268Е|200|3 А|-|0,9 (3 А)|2 мА|-|500
КД268Ж|250|3 А|-|0,95 (3 А)|2 мА|-|500
КД268И|300|3 А|-|0,95 (3 А)|3 мА|-|500
КД268К|350|3 А|-|1 (3 А)|3 мА|-|500
КД268Л|400|3 А|-|1,1 (3 А)|3 мА|-|-
КД269А|25|5 А; 450* А|-|0,65 (5 А)|1 мА|-|500
КД269Б|50|5 А; 300* А|-|0,75 (5 А)|1 мА|-|500
КД269В|75|5 А; 240* А|-|0,85 (5 А)|1 мА|-|500
КД269Г|100|5 А; 210* А|-|0,85 (5 А)|1 мА|-|500
КД269Д|150|5 А|-|0,9 (5 А)|1 мА|-|500
КД269Е|200|5 А|-|0,9 (5 А)|2 мА|-|500
КД269Ж|250|5 А|-|0,95 (5 А)|2 мА|-|500
КД269И|300|5 А|-|0,95 (5 А)|2 мА|-|500
КД269К|350|5 А|-|1 (5 А)|3 мА|-|500
КД269Л|400|5 А|-|1,1 (5 А)|3 мА|-|500
КД270А|25|7,5 А; 850* А|-|0,65 (7,5 А)|1 мА|-|500
КД270Б|50|7,5 А; 700* А|-|0,75 (7,5 А)|1 мА|-|500
КД270В|75|7,5 А; 600* А|-|0,85 (7,5 А)|1 мА|-|500
КД270Г|100|7,5 А; 525* А|-|0,85 (7,5 А)|1 мА|-|500
КД270Д|150|7,5 А|-|0,9 (7,5 А)|1 мА|-|500
КД270Е|200|7,5 А|-|0,9 (7,5 А)|2 мА|-|500
КД270Ж|250|7,5 А|-|0,95 (7,5 А)|2 мА|-|500
КД270И|300|7,5 А|-|0,95 (7,5 А)|2 мА|-|500
КД270К|350|7,5 А|-|1 (7,5 А)|3 мА|-|500
КД270Л|400|7,5 А|-|1,1 (7,5 А)|3 мА|-|500
КД271Б|50|10 А; 800* А|-|0,75 (10 А)|1 мА|-|500
КД271В|75|10 А; 700* А|-|0,85 (10 А)|1 мА|-|500
КД271Г|100|10 А; 600* А|-|0,85 (10 А)|1 мА|-|500
КД271Д|150|10 А|-|0,9 (10 А)|1 мА|-|500
КД271Е|200|10А|-|0,9 (10 А)|2 мА|-|500
КД271Ж|250|10 А|-|0,95 (10 А)|2 мА|-|500
КД271И|300|10 А|-|0,95 (10 А)|2 мА|-|500
КД271К|350|10 А|-|1 (10 А)|3 мА|-|500
КД271Л|400|10 А|-|1,1 (10 А)|3 мА|-|500
КД272А|25|15 А; 1400* А|-|0,65 (15 А)|1 мА|-|500
КД272Б|50|15 А; 1200* А|-|0,75 (15 А)|1 мА|-|500
КД272В|75|15 А; 1000* А|-|0,85 (15 А)|1 мА|-|500
КД272Г|100|15 А; 800* А|-|0,85 (15 А)|1 мА|-|500
КД272Д|150|15 А|-|0,9 (15 А)|1 мА|-|500
КД272Е|200|15 А|-|0,9 (15 А)|2 мА|-|500
КД272Ж|250|15 А|-|0,95 (15 А)|2 мА|-|500
КД272И|300|15 А|-|0,95 (15 А)|5 мА|-|500
КД272К|350|15 А|-|1 (15 А)|5 мА|-|500
КД272Л|400|15 А|-|1,1 (15 А)|5 мА|-|500
КД273А|25|20 А; 1800* А|-|0,65 (20 А)|1 мА|-|500
КД273Б|50|20 А; 1500* А|-|0,75 (20 А)|1 мА|-|500
КД273В|75|20 А; 1400* А|-|0,85 (20 А)|1 мА|-|500
КД273Г|100|20 А; 1300* А|-|0,85 (20 А)|1 мА|-|500
КД273Д|150|20 А|-|0,9 (20 А)|1 мА|-|500
КД273Е|200|20 А|-|0,9 (20 А)|2 мА|-|500
